Price;Host ID;Host Response Rate;Host Total Listings Count;Neighbourhood Cleansed;Neighbourhood Group Cleansed;Smart Location;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Location;Review Scores Value;Cancellation Policy;Calculated host listings count
60.0;31124866;100.0;2.0;Jerónimos;Retiro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;1;0;2;1125;9;32;52;117;12;9.0;10.0;10.0;9.0;moderate;2.0
50.0;85301317;100.0;1.0;Sol;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;1;0;1;1125;15;39;64;208;20;9.0;9.0;10.0;10.0;flexible;1.0
10.0;84213235;100.0;16.0;Vista Alegre;Carabanchel;Madrid, Spain;Apartment;Shared room;1;1.5;1.0;8.0;Real Bed;1;0;3;30;14;44;74;140;0;;;;;moderate;16.0
30.0;15258781;100.0;114.0;Embajadores;Centro;Madrid, Spain;Apartment;Private room;2;3.0;1.0;1.0;Real Bed;1;0;10;1125;0;6;36;311;0;;;;;strict;97.0
32.0;1706029;100.0;2.0;Gaztambide;Chamberí;Madrid, Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;1;10;1;1125;7;34;62;337;97;9.0;9.0;9.0;9.0;strict;2.0
35.0;15604118;100.0;1.0;Embajadores;Centro;Madrid, Spain;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;1;0;2;60;21;51;81;356;43;10.0;10.0;10.0;10.0;strict;1.0
80.0;2005372;100.0;1.0;Palacio;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;2;21;1;3;15;45;75;75;24;10.0;10.0;10.0;10.0;flexible;1.0
25.0;15258781;100.0;114.0;Sol;Centro;Madrid, Spain;Apartment;Private room;2;3.0;1.0;1.0;Real Bed;1;5;10;1125;0;0;18;74;0;;;;;strict;97.0
69.0;4200246;97.0;68.0;Calvià;;Illetes, Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;3;10;4;36;21;51;81;339;1;10.0;10.0;10.0;10.0;strict;63.0
158.0;596469;100.0;28.0;Goya;Salamanca;Madrid, Spain;Apartment;Entire home/apt;4;2.0;2.0;3.0;Real Bed;2;20;7;180;16;26;52;52;3;10.0;9.0;10.0;9.0;strict;28.0
29.0;82696503;100.0;4.0;Embajadores;Centro;Madrid, Spain;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;1;10;2;1125;14;34;64;65;37;9.0;9.0;10.0;9.0;moderate;4.0
85.0;449990;89.0;8.0;Fuente del Berro;Salamanca;Madrid, Spain;Apartment;Entire home/apt;2;2.0;1.0;2.0;Real Bed;1;0;2;1125;0;0;6;281;0;;;;;flexible;7.0
52.0;22720373;100.0;2.0;Ibiza;Retiro;Madrid, Spain;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;1;0;1;1125;20;50;80;355;13;9.0;10.0;10.0;9.0;strict;2.0
55.0;51397305;79.0;2.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;1.0;Pull-out Sofa;1;0;2;1125;2;27;54;329;27;9.0;8.0;10.0;8.0;moderate;2.0
39.0;2146727;100.0;4.0;Casa de Campo;Moncloa - Aravaca;Madrid, Spain;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;1;13;2;365;4;4;4;86;87;10.0;9.0;10.0;10.0;strict;4.0
65.0;49501483;100.0;1.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;2;10;2;40;7;24;24;242;37;9.0;9.0;9.0;9.0;moderate;1.0
50.0;68664241;;2.0;Ibiza;Retiro;Madrid, Spain;Apartment;Private room;3;1.0;1.0;3.0;Real Bed;1;0;1;1125;0;0;0;0;0;;;;;flexible;2.0
50.0;9891936;100.0;1.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;4;1.0;0.0;3.0;Real Bed;2;10;3;30;1;1;1;189;7;8.0;8.0;10.0;9.0;strict;1.0
160.0;4795421;100.0;5.0;Palacio;Centro;Madrid, Spain;Loft;Entire home/apt;4;2.0;2.0;3.0;Real Bed;1;0;2;1125;9;29;51;326;40;9.0;10.0;10.0;9.0;strict;4.0
29.0;17556638;100.0;6.0;Embajadores;Centro;Madrid, Spain;Apartment;Entire home/apt;2;1.0;0.0;2.0;Real Bed;1;0;2;1125;0;4;7;60;108;8.0;9.0;9.0;9.0;moderate;5.0
35.0;23444591;100.0;4.0;Almendrales;Usera;Madrid, Spain;House;Private room;2;;1.0;;Real Bed;1;0;1;1125;30;60;90;365;7;8.0;8.0;8.0;9.0;flexible;4.0
